Date,date_match,i,USD,EUR,u,m3,core_i_yoy,pmi
2005_1,2005-01,9,187.8801727294922,246.47999572753906,6.599999904632568,111.13387298583984,3.7722160816192627,56.79999923706055
2005_2,2005-02,8.25,187.252197265625,243.69000244140625,6.900000095367432,117.90470886230469,3.063063144683838,55.5
2005_3,2005-03,7.75,185.4480743408203,244.80999755859375,7.099999904632568,125.38421630859375,2.7977044582366943,55.20000076293945
2005_4,2005-04,7.5,191.83026123046875,248.19000244140625,7.199999809265137,125.1525650024414,2.565930128097534,52.20000076293945
2005_5,2005-05,7.25,198.47959899902344,251.9499969482422,7.199999809265137,114.95008087158203,2.1269054412841797,50.79999923706055
2005_6,2005-06,7,204.7184600830078,249.0399932861328,7.099999904632568,107.9695053100586,1.8046709299087524,52.400001525878906
2005_7,2005-07,6.75,204.76031494140625,246.47000122070312,7.099999904632568,108.28588104248047,1.5912305116653442,52.79999923706055
2005_8,2005-08,6.25,198.90171813964844,244.49000549316406,7.199999809265137,111.76695251464844,1.663128137588501,52.400001525878906
2005_9,2005-09,6,200.57931518554687,245.8300018310547,7.300000190734863,114.1453857421875,1.447740077972412,56.79999923706055
2005_10,2005-10,6,209.6129913330078,251.85000610351562,7.300000190734863,113.35111236572266,1.3717904090881348,57.20000076293945
2005_11,2005-11,6,212.99847412109375,251.0399932861328,7.199999809265137,114.5062484741211,1.3693820238113403,56.70000076293945
2005_12,2005-12,6,213.12416076660156,252.67999267578125,7.300000190734863,117.69562530517578,1.264488935470581,55.099998474121094
2006_1,2006-01,6,207.14698791503906,250.7100067138672,7.5,121.94005584716797,0.5242922306060791,55
2006_2,2006-02,6,210.73043823242187,251.57000732421875,7.800000190734863,123.34574890136719,0.5944055914878845,55.79999923706055
2006_3,2006-03,6,217.0133056640625,260.8500061035156,7.719329357147217,122.67119598388672,0.697836697101593,54.29999923706055
2006_4,2006-04,6,216.33934020996094,265.4700012207031,7.577033042907715,116.91520690917969,0.6949270367622375,55.20000076293945
2006_5,2006-05,6,205.45809936523437,262.3699951171875,7.322047710418701,116.53365325927734,0.9718847870826721,53.70000076293945
2006_6,2006-06,6.25,215.32806396484375,272.3900146484375,7.22829532623291,124.74576568603516,1.2513034343719482,52
2006_7,2006-07,6.75,218.7716827392578,277.489990234375,7.365067481994629,114.25144958496094,1.8099547624588013,53
2006_8,2006-08,7.25,214.19873046875,274.4100036621094,7.448566436767578,103.27197265625,2.297250270843506,53.70000076293945
2006_9,2006-09,7.75,215.62033081054687,274.4200134277344,7.542457580566406,102.36492156982422,3.96797776222229,52.20000076293945
2006_10,2006-10,8,211.79922485351562,267.1000061035156,7.4694743156433105,102.64723205566406,4.441359996795654,51.400001525878906
2006_11,2006-11,8,200.94712829589844,258.8399963378906,7.48967170715332,107.5342025756836,4.572220325469971,50.29999923706055
2006_12,2006-12,8,192.21221923828125,253.97000122070312,7.486175060272217,110.03636169433594,4.8907389640808105,51.400001525878906
2007_1,2007-01,8,195.3073272705078,253.8800048828125,7.504922389984131,107.8568344116211,5.563282489776611,49.5
2007_2,2007-02,8,193.74330139160156,253.3000030517578,7.431945323944092,106.20487213134766,5.769899368286133,51.900001525878906
2007_3,2007-03,8,188.68751525878906,249.86000061035156,7.546578407287598,105.2708969116211,6.029106140136719,50.70000076293945
2007_4,2007-04,8,182.0065155029297,246,7.483201503753662,105.4990005493164,5.9351277351379395,52.599998474121094
2007_5,2007-05,8,183.86500549316406,248.4199981689453,7.30084753036499,111.71504211425781,5.775180339813232,52.5
2007_6,2007-06,7.75,186.5191192626953,250.2899932861328,7.037466049194336,117.49250793457031,5.870236873626709,52.599998474121094
2007_7,2007-07,7.75,180.0087432861328,246.89999389648437,7.041205883026123,117.37353515625,5.5726494789123535,52.400001525878906
2007_8,2007-08,7.75,187.34400939941406,255.1999969482422,7.209677696228027,117.24192810058594,5.375977993011475,50.900001525878906
2007_9,2007-09,7.5,182.30426025390625,253.3300018310547,7.25245475769043,119.00969696044922,4.318714618682861,51
2007_10,2007-10,7.5,176.4391632080078,251.02000427246094,7.378523826599121,115.07479095458984,4.318936824798584,51.099998474121094
2007_11,2007-11,7.5,173.31790161132812,254.5,7.506695747375488,105.78302764892578,4.471679210662842,50.5
2007_12,2007-12,7.5,173.7680206298828,253.17999267578125,7.788518905639648,105.18548583984375,4.695767402648926,49
2008_1,2008-01,7.5,173.95706176757813,256.0299987792969,8.168615341186523,108.65843963623047,5.039525508880615,50.29999923706055
2008_2,2008-02,7.5,177.75291442871094,262.1499938964844,8.064423561096191,109.18270874023437,5.093657493591309,48.29999923706055
2008_3,2008-03,7.5,167.41160583496094,259.94000244140625,7.968733310699463,109.98214721679687,5.098039150238037,48.599998474121094
2008_4,2008-04,8.25,161.1008758544922,253.75,7.722312927246094,103.26314544677734,5.472312927246094,48.599998474121094
2008_5,2008-05,8.5,159.21450805664062,247.69000244140625,7.6785664558410645,98.834686279296875,5.719857215881348,49.599998474121094
2008_6,2008-06,8.5,155.86703491210937,242.4199981689453,7.587677001953125,109.70512390136719,5.6744489669799805,50.20000076293945
2008_7,2008-07,8.5,147.00064086914063,231.82000732421875,7.460122585296631,110.4953842163086,5.829015731811523,50
2008_8,2008-08,8.5,157.51585388183594,235.8800048828125,7.440398693084717,102.39542388916016,5.618340492248535,49.900001525878906
2008_9,2008-09,8.5,167.49948120117187,240.67999267578125,7.665904998779297,108.4944839477539,4.974326133728027,43.5
2008_10,2008-10,11.5,195.2784881591797,260.1499938964844,7.71376895904541,113.03646087646484,4.585987091064453,38.900001525878906
2008_11,2008-11,11,208.3883056640625,265.32000732421875,7.822655200958252,109.92090606689453,4.121750354766846,36.20000076293945
2008_12,2008-12,10,197.0555419921875,265.0199890136719,8.047035217285156,117.1846923828125,3.790271520614624,32.400001525878906
2009_1,2009-01,9.5,211.39059448242187,279.8599853515625,8.464356422424316,127.4394760131836,3.386641502380371,35.599998474121094
2009_2,2009-02,9.5,233.32029724121094,298.29998779296875,9.197131156921387,121.54055786132812,3.252032518386841,35.79999923706055
2009_3,2009-03,9.5,233.05746459960937,304.1400146484375,9.76969051361084,113.06945037841797,3.109452724456787,36.29999923706055
2009_4,2009-04,9.5,223.85140991210937,295.260009765625,9.938294410705566,108.11187744140625,3.1192092895507813,40.099998474121094
2009_5,2009-05,9.5,206.54212951660156,281.92999267578125,9.828778266906738,103.61328125,3.1048262119293213,42.79999923706055
2009_6,2009-06,9.5,200.09988403320312,280.4599914550781,9.622847557067871,99.58739471435547,3.1911628246307373,44.79999923706055
2009_7,2009-07,8.5,193.1147003173828,272.05999755859375,9.693058013916016,98.48526763916016,5.140758991241455,48.900001525878906
2009_8,2009-08,8,189.2696990966797,270.04998779296875,9.969484329223633,100.32225036621094,5.0749006271362305,52.900001525878906
2009_9,2009-09,7.5,186.6776580810547,271.8399963378906,10.319900512695312,96.98591613769531,5.1666154861450195,52.599998474121094
