Date,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2013_1,5.38,5.28,5.27,5.54,5.89,6.34,6.35
2013_2,4.93,4.93,4.91,5.3,5.66,6.25,6.33
2013_3,4.71,4.63,4.58,5.12,5.61,6.27,6.43
2013_4,4.21,4.08,4.08,4.65,4.93,5.32,5.53
2013_5,4.13,4.08,3.98,4.64,5.1,5.64,5.96
2013_6,4.18,4.2,4.38,5.11,5.44,6.12,6.52
2013_7,3.95,3.96,4.09,4.92,5.45,6.41,6.91
2013_8,3.8,3.86,3.95,5.19,5.79,6.58,7.03
2013_9,3.55,3.62,3.6,4.55,5.08,5.83,6.42
2013_10,3.3,3.23,3.31,4.21,4.65,5.45,6.08
2013_11,2.85,3,3.14,4.23,5.07,6.07,6.58
2013_12,2.86,2.85,3.04,4.01,4.66,5.61,6.26
2014_1,3.23,3.2,3.3,4.98,5.31,6.2,6.69
2014_2,2.87,2.83,3.16,4.93,5.08,6.01,6.45
2014_3,2.74,2.75,3.02,4.53,4.84,5.54,5.99
2014_4,2.35,2.45,2.59,4.08,4.38,5.35,5.74
2014_5,2.37,2.36,2.35,3.36,3.66,4.71,5.13
2014_6,2.23,2.22,2.23,3.07,3.33,4.39,4.82
2014_7,1.68,1.72,1.89,3.34,3.68,4.73,5.03
2014_8,1.52,1.52,1.76,3.2,3.52,4.45,4.74
2014_9,1.34,1.45,1.58,3.16,3.63,4.63,4.77
2014_10,1.71,1.73,1.7,2.82,3.29,3.9,4.17
2014_11,1.64,1.64,1.68,2.54,2.97,3.52,3.83
2014_12,1.43,1.54,1.8,2.72,3.15,3.6,3.83
2015_1,1.7,1.54,1.6,2.09,2.38,2.79,2.99
2015_2,1.58,1.6,1.63,2.01,2.47,2.91,3.12
2015_3,1.5,1.64,1.63,2.12,2.6,3.28,3.4
2015_4,1.54,1.44,1.5,2.22,2.88,3.44,3.68
2015_5,1.31,1.29,1.39,2.23,2.8,3.4,3.5
2015_6,1.01,1.02,0.99,2.11,2.98,3.88,4.16
2015_7,0.88,0.88,0.87,2.22,2.84,3.74,3.98
2015_8,0.72,0.68,0.7,2.06,2.66,3.64,3.89
2015_9,0.39,0.38,0.43,1.55,2.33,3.28,3.76
2015_10,0.74,0.66,0.74,1.83,2.44,3.35,3.8
2015_11,0.79,0.8,0.95,1.91,2.47,3.29,3.87
2015_12,0.8,0.87,0.93,2.11,2.55,3.33,3.88
2016_1,0.93,0.95,0.96,1.93,2.44,3.48,3.71
2016_2,0.94,0.99,1,1.87,2.32,3.27,3.56
2016_3,1,0.99,0.99,1.51,2.05,2.94,3.23
2016_4,0.9,0.9,0.88,1.63,2.25,3.32,3.55
2016_5,0.88,0.93,1,1.84,2.48,3.41,3.61
2016_6,0.85,0.92,0.92,1.81,2.26,3.12,3.39
2016_7,0.5,0.51,0.61,1.38,1.95,2.81,3.1
2016_8,0.47,0.51,0.61,1.35,1.94,2.85,3.2
2016_9,0.54,0.6,0.6,1.24,1.8,2.87,3.16
2016_10,0.4,0.31,0.47,1.17,1.8,2.98,3.31
2016_11,0.25,0.3,0.45,1.11,2.04,3.38,3.72
2016_12,0.06,0.08,0.15,0.82,1.67,3.16,3.66
2017_1,0.06,0.09,0.23,1.39,2.11,3.47,3.93
2017_2,0.09,0.1,0.21,1.51,2.17,3.41,3.91
2017_3,0.07,0.07,0.09,1.14,2.15,3.29,3.77
2017_4,0.08,0.08,0.12,0.98,2.05,3.24,3.73
2017_5,0.07,0.09,0.12,0.8,1.82,3.04,3.65
2017_6,0.05,0.09,0.1,0.74,1.76,3.09,3.62
2017_7,0.07,0.11,0.1,0.84,1.83,3.1,3.67
2017_8,0.05,0.11,0.07,0.68,1.64,2.95,3.58
2017_9,-0.04,-0.03,-0.04,0.51,1.21,2.58,3.21
2017_10,-0.04,-0.01,0,0.51,1.22,2.48,3.21
2017_11,-0.01,0,-0.01,0.57,1.09,2.13,2.82
2017_12,-0.01,0.01,0.02,0.51,1.09,2.02,2.72
2018_01,-0.03,0.01,0,0.56,1.24,2.31,2.73
2018_02,-0.02,-0.02,-0.02,0.87,1.44,2.58,2.98
2018_03,0,-0.01,0.03,0.81,1.24,2.39,2.85
2018_04,0.01,0.03,0.04,0.73,1.27,2.52,3.56
2018_05,0.15,0.13,0.24,1.16,1.65,3.15,3.92
2018_06,0.13,0.37,0.62,1.85,2.28,3.59,4.15
2018_07,0.11,0.32,0.47,1.54,2.65,3.23,3.73
2018_08,0.13,0.33,0.53,1.65,2.84,3.46,3.88
2018_09,0.12,0.13,0.4,1.75,2.97,3.54,3.95
2018_10,-0.01,0.01,0.28,1.6,3.06,3.66,4.19
2018_11,0,0.01,0.27,1.26,2.61,3.14,3.81
2018_12,0,0.12,0.39,1.21,2.46,3.01,3.78
