log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,i,USD,EUR,u,m2,core_i_yoy,pmi,date,net_hawk_pr,PRnet_positive_baseline_focused,PRnet_positive_baseline,net_hawk_min,MINnet_positive_baseline_focused,MINnet_positive_baseline,mt_cohesion,year,gov,log_total_d,log_in_year_d,log_out_year_d,log_short_term_d,log_medium_term_d,log_long_term_d,i_d,u_d,core_i_yoy_d,USD_d,EUR_d,pmi_d,mt_cohesion_d,net_hawk_min_ln,MINnet_positive_baseline_focused_ln,MINnet_positive_baseline_ln,net_hawk_pr_ln,PRnet_positive_baseline_focused_ln,PRnet_positive_baseline_ln
-0.44504591822624207,-0.30799612402915955,-0.5491762161254883,-0.30799612402915955,-0.3965795636177063,-0.6549548506736755,9,187.8801727294922,246.47999572753906,6.599999904632568,111.13387298583984,3.7722160816192627,56.79999923706055,2005-01-24,1.0075817510548524,0.9958333333333333,0.9908015768725361,0.9958997860978869,0.9948770491803278,0.9805982215036378,.,2005,jarai,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.004108642827288551,-0.005136118121767622,-0.019592463448437757,0.00755315403303336,-0.0041753714104806215,-0.009240989853729785
-0.5939283967018127,-0.4600069224834442,-0.6961818337440491,-0.4600069224834442,-0.5641413331031799,-0.7866770625114441,8.25,187.252197265625,243.69000244140625,6.900000095367432,117.90470886230469,3.063063144683838,55.5,2005-02-21,1,1,1,0.975726113847794,0.9911433172302737,0.9860253493662658,.,2005,jarai,-0.14888247847557068,-0.15201079845428467,-0.1470056176185608,-0.15201079845428467,-0.16756176948547363,-0.13172221183776855,-0.75,0.3000001907348633,-0.7091529369354248,-0.6279754638671875,-2.7899932861328125,-1.2999992370605469,.,-0.024573353008089393,-0.008896136308970603,-0.014073215413564266,0,0,0
-0.5744717121124268,-0.4654642641544342,-0.6660310626029968,-0.4654642641544342,-0.5421334505081177,-0.7511087656021118,7.75,185.4480743408203,244.80999755859375,7.099999904632568,125.38421630859375,2.7977044582366943,55.20000076293945,2005-03-29,1.006578947368421,0.9905660377358491,0.9906542056074766,1.0063868613138687,0.9893143365983972,0.98787419477074645,.,2005,jarai,0.019456684589385986,-0.00545734167098999,0.030150771141052246,-0.00545734167098999,0.022007882595062256,0.035568296909332275,-0.5,0.19999980926513672,-0.26535868644714355,-1.8041229248046875,1.1199951171875,-0.2999992370605469,.,0.006366551745541688,-0.010743165098813155,-0.012199922569822384,0.0065574005461590396,-0.00947874395454377,-0.009389740349839032
-0.5350102186203003,-0.44321003556251526,-0.6194185018539429,-0.44321003556251526,-0.5026408433914185,-0.6997787952423096,7.5,191.83026123046875,248.19000244140625,7.199999809265137,125.1525650024414,2.565930128097534,52.20000076293945,2005-04-25,1.017467248908297,1,0.9979253112033195,0.9499608559498957,0.9712643678160919,0.9744471744471744,.,2005,jarai,0.039461493492126465,0.022254228591918945,0.046612560749053955,0.022254228591918945,0.03949260711669922,0.051329970359802246,-0.25,0.09999990463256836,-0.23177433013916016,6.3821868896484375,3.3800048828125,-3,.,-0.05133449949973724,-0.029156584291455578,-0.025884969356899396,0.017316450011460958,0,-0.002076843944839117
-0.5570321679115295,-0.47163379192352295,-0.6387064456939697,-0.47163379192352295,-0.5270262956619263,-0.7154622077941895,7.25,198.47959899902344,251.9499969482422,7.199999809265137,114.95008087158203,2.1269054412841797,50.79999923706055,2005-05-23,1.0476190476190477,1.0238095238095237,1.0091743119266054,0.9880149285261601,0.9848703170028819,0.9870764931889626,.,2005,jarai,-0.022021949291229248,-0.02842375636100769,-0.019287943840026855,-0.02842375636100769,-0.024385452270507813,-0.015683412551879883,-0.25,0,-0.4390246868133545,6.6493377685546875,3.7599945068359375,-1.4000015258789062,.,-0.012057471504130154,-0.015245304342800239,-0.013007741853642306,0.04652001563489291,0.023530497410194036,0.009132483563272472
-0.6970980763435364,-0.5810404419898987,-0.7913968563079834,-0.5810404419898987,-0.663208544254303,-0.8789240121841431,7,204.7184600830078,249.0399932861328,7.099999904632568,107.9695053100586,1.8046709299087524,52.400001525878906,2005-06-20,1.0042735042735043,0.9784172661870504,0.985655737704918,0.9752247353921996,0.9878163074039362,0.9883040935672515,.,2005,jarai,-0.14006590843200684,-0.10940665006637573,-0.15269041061401367,-0.10940665006637573,-0.1361822485923767,-0.1634618043899536,-0.25,-0.09999990463256836,-0.32223451137542725,6.238861083984375,-2.910003662109375,1.6000022888183594,.,-0.025087336706681822,-0.012258522200445779,-0.01176484157958637,0.004264398786457518,-0.021819047394639725,-0.014448135747386041
-0.7403931617736816,-0.6137252449989319,-0.8392884731292725,-0.6137252449989319,-0.6953278183937073,-0.9377888441085815,6.75,204.76031494140625,246.47000122070312,7.099999904632568,108.28588104248047,1.5912305116653442,52.79999923706055,2005-07-18,0.9413004214328717,1.0115606936416186,1,0.9717094928186715,0.9951298701298701,0.994655264564404,.,2005,jarai,-0.043295085430145264,-0.0326848030090332,-0.04789161682128906,-0.0326848030090332,-0.0321192741394043,-0.05886483192443848,-0.25,0,-0.2134404182434082,0.0418548583984375,-2.5699920654296875,0.3999977111816406,.,-0.02869839489489675,-0.004882027597308421,-0.005359069631838914,-0.06049293271539893,0.011494379425735212,0
-0.8503322601318359,-0.7013118863105774,-0.958945631980896,-0.7013118863105774,-0.7945860624313354,-1.07177734375,6.25,198.90171813964844,244.49000549316406,7.199999809265137,111.76695251464844,1.663128137588501,52.400001525878906,2005-08-22,1,1,1,0.9973999163792202,0.9991212653778558,0.9954337899543378,.,2005,jarai,-0.1099390983581543,-0.08758664131164551,-0.11965715885162354,-0.08758664131164551,-0.09925824403762817,-0.13398849964141846,-0.5,0.09999990463256836,0.07189762592315674,-5.8585968017578125,-1.9799957275390625,-0.3999977111816406,.,-0.002603469708878965,-8.791209357402404e-4,-0.004576667027411867,0,0,0
-0.7477895617485046,-0.661525309085846,-0.8293681740760803,-0.661525309085846,-0.7217714190483093,-0.9028341174125671,6,200.57931518554687,245.8300018310547,7.300000190734863,114.1453857421875,1.447740077972412,56.79999923706055,2005-09-19,0.9875922199865862,1.0140845070422535,1.0028985507246377,0.9918468782699686,1,0.9904661016949152,.,2005,jarai,0.1025426983833313,0.039786577224731445,0.12957745790481567,0.039786577224731445,0.07281464338302612,0.16894322633743286,-0.25,0.10000038146972656,-0.21538805961608887,1.6775970458984375,1.339996337890625,4.399997711181641,.,-0.008186540194160506,0,-0.00957963685681372,-0.012485399238996636,0.01398624197473987,0.0028943580263645565
-0.6609697341918945,-0.6192948818206787,-0.7249463200569153,-0.6192948818206787,-0.6385112404823303,-0.7848396301269531,6,209.6129913330078,251.85000610351562,7.300000190734863,113.35111236572266,1.3717904090881348,57.20000076293945,2005-10-24,1.0076923076923077,1,0.9809725158562368,1.0105615793780687,0.9970845481049563,0.986827661909989,0.8333333333333334,2005,jarai,0.08681982755661011,0.042230427265167236,0.10442185401916504,0.042230427265167236,0.083260178565979,0.11799448728561401,0,0,-0.07594966888427734,9.0336761474609375,6.0200042724609375,0.40000152587890625,.,0.01050619551798223,-0.0029197101033347503,-0.013259862788338019,0.007662872745569097,0,-0.019210836265677697
