id_pr,date,net_hawk_pr,lm_baseline,net_hawk_agh
pr_1,2005-01-24,1.7445087806929913,0.9908015768725361,1
pr_2,2005-02-21,1,1,1
pr_3,2005-03-29,1.0527518233400586,0.9906542056074766,0.9166666666666666
pr_4,2005-04-25,1.1203456502218112,0.9979253112033195,1
pr_5,2005-05-23,1,1.0091743119266054,1
pr_6,2005-06-20,0.40149245468938566,0.985655737704918,1
pr_7,2005-07-18,0.8400383141762453,1,1
pr_8,2005-08-22,1,1,1
pr_9,2005-09-19,1.1100572137414242,1.0028985507246377,1
pr_10,2005-10-24,1.0526315789473684,0.9809725158562368,1
pr_11,2005-11-28,1,1.0059880239520957,1
pr_12,2005-12-19,1.1359649122807018,1,1
pr_13,2006-01-23,1.2717750386868034,1,1
pr_14,2006-02-27,1.1701023749086876,1.0023364485981308,1
pr_15,2006-03-20,1.0526634382566586,0.9819494584837545,1
pr_16,2006-04-24,1.0889952153110047,0.9916434540389972,1
pr_17,2006-05-22,1,1,1
pr_18,2006-06-19,1.3860833828480887,0.9855855855855856,1
pr_19,2006-07-24,1.2237121212121211,0.9900332225913622,1
pr_20,2006-08-28,1.3645321497724243,0.9914346895074947,1
pr_21,2006-09-25,1.1026214730374324,0.982078853046595,1
pr_22,2006-10-24,1.3151274651274651,0.9974747474747475,1
pr_23,2006-11-20,1,1,1
pr_24,2006-12-18,1.0818813131313132,0.9932432432432432,0.9523809523809523
pr_25,2007-01-22,1.7775807944848192,1.0046656298600312,1
pr_26,2007-02-26,0.6452946127946128,0.9797979797979798,1
pr_27,2007-03-26,1.0535930735930736,0.9896103896103896,0.8376623376623377
pr_28,2007-04-23,0.9153961980048937,0.9906832298136646,1
pr_29,2007-05-21,1.0624866075953032,0.9863636363636363,0.9411764705882353
pr_30,2007-06-25,1.2943776106934002,0.9970326409495549,1
pr_31,2007-07-23,0.9357575757575758,0.9957805907172996,0.9090909090909091
pr_32,2007-08-27,1.1625,0.978448275862069,0.95
pr_33,2007-09-24,0.859554800980947,0.9920948616600791,1
pr_34,2007-10-29,1.3750350002006948,0.9888579387186629,1
pr_35,2007-11-26,1.0940239913817367,0.9821428571428572,0.8636363636363636
pr_36,2007-12-17,1.6717346379111084,0.9919571045576407,0.8924242424242425
pr_37,2008-01-21,1.6049050793352722,0.9912087912087912,1.0833333333333333
pr_38,2008-02-25,0.6613750413673014,0.9821782178217822,0.7856209150326797
pr_39,2008-03-31,0.9067710067710067,0.9895561357702349,0.8564593301435407
pr_40,2008-04-28,0.9518518518518518,0.9704641350210971,1
pr_41,2008-05-26,1.104157452454666,0.9904761904761905,0.9545454545454546
pr_42,2008-06-23,0.8657545825347683,0.9838056680161943,0.8947368421052632
pr_43,2008-07-21,0.8484234780499635,0.9917355371900827,0.9473684210526316
pr_44,2008-08-25,0.6363424157541806,0.9777070063694268,0.9090909090909091
pr_45,2008-09-29,1,1,1
pr_46,2008-10-20,0.7438248026483321,0.9736842105263158,1
pr_47,2008-11-24,0.5219421101774043,0.9703196347031964,0.7610294117647058
pr_48,2008-12-08,1,1,1
pr_49,2009-01-19,0.4013849901388602,0.979702300405954,0.8421052631578947
pr_50,2009-02-23,0.24011881487687936,0.9699248120300752,1
pr_51,2009-03-23,0.7285067873303168,0.9487179487179487,1
pr_52,2009-04-20,0.4016474467561424,0.9453376205787781,1
pr_53,2009-05-25,0.9127987954074911,0.9773828756058158,0.826797385620915
pr_54,2009-06-22,0.9392057218144174,0.9748427672955975,1
pr_55,2009-07-27,0.8130713341239657,0.9851063829787234,1
pr_56,2009-08-24,1.020062290650526,0.9766233766233766,1.0588235294117647
pr_57,2009-09-28,1.3547563689507423,1,1
pr_58,2009-10-19,0.880701754385965,0.9794050343249427,0.9090909090909091
pr_59,2009-11-23,0.5024410975497932,0.9796296296296296,0.9545454545454546
pr_60,2009-12-21,0.9001766505272817,0.975103734439834,1.0769230769230769
pr_61,2010-01-25,0.7203650597768245,0.9813664596273292,1
pr_62,2010-02-22,0.7312486064659978,0.9810924369747899,1
pr_63,2010-03-29,0.6623809523809523,0.9830508474576272,1
pr_64,2010-04-26,0.49617414748993705,0.9772727272727273,1
pr_65,2010-05-31,1.1555595217920402,0.9779411764705882,1.0952380952380953
pr_66,2010-06-21,0.7869502949436535,0.962536023054755,1.0909090909090908
pr_67,2010-07-19,1.1672549019607843,0.9676674364896074,1
pr_68,2010-08-23,1.2001995483196817,0.9742489270386266,0.8502673796791445
pr_69,2010-09-27,1.0417929647544253,0.9676767676767677,0.9411764705882353
pr_70,2010-10-25,0.9528562940327646,0.9855334538878843,1
pr_71,2010-11-29,1.6305498967263672,0.9907235621521335,1.1341991341991342
pr_72,2010-12-20,1.2957900432900433,0.9764453961456103,1.040909090909091
pr_73,2011-01-24,0.9345816175694225,0.9863201094391245,1.0166666666666666
pr_74,2011-02-21,1.2114247311827957,0.9832089552238806,1
pr_75,2011-03-28,1.2346992088371398,0.9936406995230525,0.9473684210526316
pr_76,2011-04-18,1.2322100313479625,0.9831288343558282,0.8848684210526316
pr_77,2011-05-16,1.3230389083533098,0.979381443298969,0.8833333333333333
pr_78,2011-06-20,1.1796016483516483,0.9837019790454016,0.7466699966699967
pr_79,2011-07-26,0.9422118579095323,0.9728260869565217,0.8898809523809523
pr_80,2011-08-23,0.7573300009659036,0.9704016913319239,0.84593837535014
pr_81,2011-09-20,-0.03521992994609624,0.9661016949152542,0.9375
pr_82,2011-10-25,0.7524279448621554,0.9686221009549796,1
pr_83,2011-11-29,1.2667765567765568,0.9619921363040629,1
pr_84,2011-12-20,1.238174603174603,0.974025974025974,1
pr_85,2012-01-24,1.2197542160356805,0.982646420824295,1.0454545454545454
pr_86,2012-02-28,0.9846609186672708,0.9879518072289156,1
pr_87,2012-03-27,1.218785767895675,0.9860383944153578,1
pr_88,2012-04-24,1.2683892660566087,0.9845201238390093,1
pr_89,2012-05-29,1.0050732892838157,0.9933110367892977,1
pr_90,2012-06-26,0.5102740396858043,0.9776632302405498,0.95
pr_91,2012-07-24,0.4759211557959243,0.984822934232715,0.9545454545454546
pr_92,2012-08-28,0.36164724923132097,0.9815837937384899,0.8473684210526315
pr_93,2012-09-25,0.7116008163653458,0.9718085106382979,0.586239272423483
pr_94,2012-10-30,0.5905169117088621,0.9774096385542168,0.8807017543859649
pr_95,2012-11-27,0.6029435852768401,0.9760119940029985,0.9949874686716792
pr_96,2012-12-18,1.580249829719644,0.982025164769323,0.8535353535353536
pr_97,2013-01-29,0.9100638413130978,0.98,0.9523809523809523
pr_98,2013-02-26,0.7238008336692547,0.9925788497217068,0.9444444444444444
pr_99,2013-03-26,0.035882453316663954,0.9839055793991416,0.9333333333333333
pr_100,2013-04-23,0.93778368576248194,0.98828125,0.9545454545454546
pr_101,2013-05-28,1.0260854341736696,0.9850427350427351,1
pr_102,2013-06-25,0.8143093175600915,0.9903846153846154,0.9285714285714286
pr_103,2013-07-23,0.7882786847289891,0.9822064056939501,1
pr_104,2013-08-27,0.9275423871641892,0.9794776119402985,1
pr_105,2013-09-24,0.3015562902405008,0.9848901098901099,0.8461538461538461
pr_106,2013-10-29,0.6090695415695415,0.9885931558935361,1
pr_107,2013-11-26,0.7163947163947164,0.9892280071813285,1
pr_108,2013-12-17,0.8860200686826075,0.9977272727272727,1
pr_109,2014-01-21,1.0015426860665548,0.9858906525573192,1
pr_110,2014-02-18,0.9589611448008032,0.9817927170868348,1.0625
pr_111,2014-03-25,1.3128839082617487,0.9943820224719101,1.2102564102564102
pr_112,2014-04-29,0.8821547964349822,0.984251968503937,1.0588235294117647
pr_113,2014-05-27,0.9310291753365757,0.9842381786339754,1.0625
pr_114,2014-06-24,1.4211329723646104,0.9924874791318865,1.2340510366826156
pr_115,2014-07-22,1.1316313139568288,0.9913793103448276,1.1394230769230769
pr_116,2014-08-26,1.0266756416098521,0.9926144756277696,1.031547619047619
pr_117,2014-09-23,1.450498504145068,0.9906621392190152,1.0138528138528138
pr_118,2014-10-28,1.0017901567243672,0.9832572298325724,1.0337121212121212
pr_119,2014-11-25,1.0744932842075645,0.9896602658788775,1.0962121212121212
