date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2007-07,-0.6007397523737525,-0.4607020423837702,-0.7057148182101141,-0.4607020423837702,-0.5685461828440548,-0.7998071460984576,0.5484058015105383,0.6308406131635366,0.49375550265552864,0.6308406131635366,0.5663482072170191,0.4494156273174271,7.35,7.31,7.11,6.97,6.79,6.7,6.41
2007-08,-0.5793364386824358,-0.4458795606927159,-0.6814878072850086,-0.4458795606927159,-0.5438381847397352,-0.7760371275084406,0.5602700167559304,0.6402608799950086,0.505863804351882,0.6402608799950086,0.5805158438633496,0.4602262201230166,7.45,7.43,7.28,7.14,6.99,6.75,6.51
2007-09,-0.6019466177856577,-0.4613798663903623,-0.7071960038958686,-0.4613798663903623,-0.5628743542658177,-0.8062429769433946,0.5477443487395277,0.6304131591372674,0.4930247004332377,0.6304131591372674,0.5695695640199143,0.4465325518054842,7.35,7.3,7.2,6.96,6.74,6.62,6.44
2007-10,-0.6118783580353865,-0.4757475398297969,-0.7151257909326001,-0.4757475398297969,-0.5744496375872304,-0.8116246054255213,0.5423312195367871,0.6214203463320644,0.48913057973453694,0.6214203463320644,0.5630146456531765,0.44413593414364494,7.25,7.19,7.07,6.93,6.74,6.56,6.43
2007-11,-0.5683219479368262,-0.457995222137163,-0.6604828409745855,-0.457995222137163,-0.5306189473688374,-0.7497223691968905,0.566475216494148,0.6325504984396625,0.5166018377281149,0.6325504984396625,0.5882407669038897,0.47249771445283745,7.35,7.35,7.27,7.33,7.15,6.83,6.65
2007-12,-0.5378211706247044,-0.44387861756498204,-0.6231297308139605,-0.44387861756498204,-0.5033855952741385,-0.7054849353649412,0.5840193456294714,0.641543288187849,0.5362634482064165,0.641543288187849,0.6044806645625665,0.49386902162283053,7.45,7.46,7.47,7.52,7.38,7.08,6.83
2008-01,-0.535805289476508,-0.446552417440867,-0.6190813295887208,-0.446552417440867,-0.5103029244209567,-0.6939323617771537,0.5851978466784347,0.6398302210434655,0.5384388583024701,0.6398302210434655,0.6003137015856848,0.49960756347845037,7.43,7.44,7.42,7.47,7.33,7.2,6.91
2008-02,-0.3944459021585392,-0.3643656359949259,-0.45453288456154944,-0.3643656359949259,-0.36995020451963584,-0.5141474293330119,0.6740534273416655,0.6946371639537858,0.6347443976169977,0.6946371639537858,0.6907687269415359,0.5980102233150861,8,8.15,8.3,8.75,8.66,8.18,7.7
2008-03,-0.3009563798180712,-0.2918196247033776,-0.35351365227107673,-0.2918196247033776,-0.2512564853174364,-0.4251156736453024,0.740110055777887,0.7469032467184217,0.7022164056739006,0.7469032467184217,0.7778228458328188,0.6536941655692922,8.72,8.65,9.17,9.96,9.6,8.56,8.17
2008-04,-0.3596779239746631,-0.3173987779182834,-0.4246663715118658,-0.3173987779182834,-0.3130056077883296,-0.5020589591324699,0.6979010670790062,0.7280403708066262,0.6539879377437878,0.7280403708066262,0.7312458118856542,0.6052831226263585,8.38,8.55,8.95,9.08,8.82,8.1,7.85
